BF;   434;20181016  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       11840;   0,06337;        
BF;  2442;20180511  ;401.00295;RESCHEM ITALIA SpA                                          ;A0209   ;BIOSSIDO TITANIO SACHTLEBEN 8700                                        ;KG;       12000;   2,60000;        
BF;  6229;20181109  ;401.00295;RESCHEM ITALIA SpA                                          ;A0209   ;BIOSSIDO DI TITANIO 8700                                                ;KG;       12000;   2,32000;        
BF;  1711;20180330  ;401.00295;RESCHEM ITALIA SpA                                          ;A0209   ;BIOSSIDO TITANIO SACHTLEBEN 8700                                        ;KG;       12000;   2,60000;        
BF;   101;20180112  ;401.00016;L'APROCHIMIDE S.R.L.                                        ;A0209   ;BIOSSIDO TITANIO T31                                                    ;KG;        1000;   2,60000;        
BF;  3868;20180719  ;401.00016;L'APROCHIMIDE S.R.L.                                        ;A0209   ;BIOSSIDO TITANIO RUTILO T-31                                            ;KG;       24000;   2,60000;        
BF;  2752;20180525  ;401.00016;L'APROCHIMIDE S.R.L.                                        ;A0209   ;BIOSSIDO TITANIO RUTILO T-31                                            ;KG;        3000;   2,60000;        
BF;  6947;20181213  ;401.00295;RESCHEM ITALIA SpA                                          ;A0209   ;BIOSSIDO DI TITANIO 8700                                                ;KG;       12000;   2,32000;        
BF;  2925;20180601  ;401.00016;L'APROCHIMIDE S.R.L.                                        ;A0209   ;BIOSSIDO TITANIO RUTILO T-31                                            ;KG;       21000;   2,60000;        
BF; 58946;20181012  ;401.00279;KRONOS TITAN GmbH                                           ;A0209   ;BIOSSIDO DI TITANIO Kronos 3070 TiO2 MIN 93                             ;KG;       24000;   2,32000;        
BF;  2100;20180419  ;401.00295;RESCHEM ITALIA SpA                                          ;A0209   ;BIOSSIDO TITANIO SACHTLEBEN 8700                                        ;KG;       12000;   2,60000;        
BF;  1401;20180314  ;401.00295;RESCHEM ITALIA SpA                                          ;A0209   ;BIOSSIDO TITANIO SACHTLEBEN 8700                                        ;KG;       12000;   2,60000;        
BF;  4561;20180910  ;401.00295;RESCHEM ITALIA SpA                                          ;A0209   ;BIOSSIDO DI TITANIO 8700                                                ;KG;       12000;   2,50000;        
BF;   738;20180209  ;401.00016;L'APROCHIMIDE S.R.L.                                        ;A0209   ;BIOSSIDO TITANIO Rutilo R220                                            ;KG;       24000;   2,45000;        
BF;  4395;20180831  ;401.00295;RESCHEM ITALIA SpA                                          ;A0209   ;BIOSSIDO DI TITANIO 8700                                                ;KG;       12000;   2,50000;        
BF;  7120;20181221  ;401.00295;RESCHEM ITALIA SpA                                          ;A0212   ;BIOSSIDO TITANIO x PROVA E-TR 92                                        ;KG;        1000;   1,95000;        
BF; 20085;20181012  ;401.00178;BRENNTAG SPA                                                ;A0218   ;MAGNESIO OSSIDO MAGOX SUPER PREM                                        ;KG;         500;   1,70000;        
BF; 19246;20180928  ;401.00178;BRENNTAG SPA                                                ;A0218   ;MAGNESIO OSSIDO MAGOX SUPER PREM                                        ;KG;         300;   1,70000;        
BF;  9110;20180504  ;401.00178;BRENNTAG SPA                                                ;A0218   ;MAGNESIO OSSIDO MAGOX SUPER PREM                                        ;KG;         300;   0,58000;        
BF; 14319;20180705  ;401.00178;BRENNTAG SPA                                                ;A0218   ;MAGNESIO OSSIDO MAGOX SUPER PREM                                        ;KG;         200;   0,62000;        
