BF;   134;20180320  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;       11500;   0,06337;        
BF;   356;20180831  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;       10320;   0,06337;        
BF;   160;20180411  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;        9740;   0,06337;        
BF;   434;20181016  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;       11840;   0,06337;        
BF;  2442;20180511  ;401.00295;RESCHEM ITALIA SpA                                          ;A0209   ;BIOSSIDO TITANIO SACHTLEBEN 8700                                        ;       12000;       2,6;        
BF;  6229;20181109  ;401.00295;RESCHEM ITALIA SpA                                          ;A0209   ;BIOSSIDO DI TITANIO 8700                                                ;       12000;      2,32;        
BF;  1711;20180330  ;401.00295;RESCHEM ITALIA SpA                                          ;A0209   ;BIOSSIDO TITANIO SACHTLEBEN 8700                                        ;       12000;       2,6;        
BF;   101;20180112  ;401.00016;L'APROCHIMIDE S.R.L.                                        ;A0209   ;BIOSSIDO TITANIO T31                                                    ;        1000;       2,6;        
BF;  3868;20180719  ;401.00016;L'APROCHIMIDE S.R.L.                                        ;A0209   ;BIOSSIDO TITANIO RUTILO T-31                                            ;       24000;       2,6;        
BF;  2752;20180525  ;401.00016;L'APROCHIMIDE S.R.L.                                        ;A0209   ;BIOSSIDO TITANIO RUTILO T-31                                            ;        3000;       2,6;        
BF;  6947;20181213  ;401.00295;RESCHEM ITALIA SpA                                          ;A0209   ;BIOSSIDO DI TITANIO 8700                                                ;       12000;      2,32;        
BF;  2925;20180601  ;401.00016;L'APROCHIMIDE S.R.L.                                        ;A0209   ;BIOSSIDO TITANIO RUTILO T-31                                            ;       21000;       2,6;        
BF; 58946;20181012  ;401.00279;KRONOS TITAN GmbH                                           ;A0209   ;BIOSSIDO DI TITANIO Kronos 3070 TiO2 MIN 93                             ;       24000;      2,32;        
BF;  2100;20180419  ;401.00295;RESCHEM ITALIA SpA                                          ;A0209   ;BIOSSIDO TITANIO SACHTLEBEN 8700                                        ;       12000;       2,6;        
BF;  1401;20180314  ;401.00295;RESCHEM ITALIA SpA                                          ;A0209   ;BIOSSIDO TITANIO SACHTLEBEN 8700                                        ;       12000;       2,6;        
BF;  4561;20180910  ;401.00295;RESCHEM ITALIA SpA                                          ;A0209   ;BIOSSIDO DI TITANIO 8700                                                ;       12000;       2,5;        
BF;   738;20180209  ;401.00016;L'APROCHIMIDE S.R.L.                                        ;A0209   ;BIOSSIDO TITANIO Rutilo R220                                            ;       24000;      2,45;        
BF;  4395;20180831  ;401.00295;RESCHEM ITALIA SpA                                          ;A0209   ;BIOSSIDO DI TITANIO 8700                                                ;       12000;       2,5;        
BF;  7120;20181221  ;401.00295;RESCHEM ITALIA SpA                                          ;A0212   ;BIOSSIDO TITANIO x PROVA E-TR 92                                        ;        1000;      1,95;        
BF; 20085;20181012  ;401.00178;BRENNTAG SPA                                                ;A0218   ;MAGNESIO OSSIDO MAGOX SUPER PREM                                        ;         500;       1,7;        
BF; 19246;20180928  ;401.00178;BRENNTAG SPA                                                ;A0218   ;MAGNESIO OSSIDO MAGOX SUPER PREM                                        ;         300;       1,7;        
BF;  9110;20180504  ;401.00178;BRENNTAG SPA                                                ;A0218   ;MAGNESIO OSSIDO MAGOX SUPER PREM                                        ;         300;      0,58;        
BF; 14319;20180705  ;401.00178;BRENNTAG SPA                                                ;A0218   ;MAGNESIO OSSIDO MAGOX SUPER PREM                                        ;         200;      0,62;        
BF;    19;20180117  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;       15600;    0,0765;        
BF;    35;20180125  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;       18000;    0,0765;        
BF;   219;20180516  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;       10500;    0,0765;        
BF;   477;20181107  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;       12000;    0,0765;        
BF;   258;20180613  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;       12000;    0,0765;        
BF;   548;20181217  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;        9000;    0,0765;        
BF;   436;20181016  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;       12000;    0,0765;        
BF;   129;20180316  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;       15000;    0,0765;        
BF;   367;20180910  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;        9000;    0,0765;        
BF;   547;20181217  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0229   ;SOLEX BNR CRUDO MICRONIZZATO-SAC                                        ;        6480;    0,0886;        
BF;   437;20181016  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0229   ;SOLEX BNR CRUDO MICRONIZZATO-SAC                                        ;        6480;    0,0886;        
BF;   257;20180613  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0229   ;SOLEX BNR CRUDO MICRONIZZATO-SAC                                        ;        6480;    0,0886;        
BF;   327;20180725  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0229   ;SOLEX BNR CRUDO MICRONIZZATO-SAC                                        ;       16200;    0,0886;        
BF;   220;20180516  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0229   ;SOLEX BNR CRUDO MICRONIZZATO-SAC                                        ;        8100;    0,0886;        
BF;   476;20181107  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0229   ;SOLEX BNR CRUDO MICRONIZZATO-SAC                                        ;        3240;    0,0886;        
