BF;   546;20191231  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0206   ;SOLEX BNR CRUDO MICRONIZZATO-RIN                                        ;KG;       14820;   0,08500;        
BF;130477;20190906  ;401.00279;KRONOS TITAN GmbH                                           ;A0209   ;BIOSSIDO DI TITANIO KRONOS 3007                                         ;KG;       24000;   1,88000;        
BF;  4025;20190530  ;401.00295;RESCHEM ITALIA SpA                                          ;A0209   ;BIOSSIDO DI TITANIO SACHTLEBEN 8700                                     ;KG;       24000;   2,02000;        
BF; 82644;20190122  ;401.00279;KRONOS TITAN GmbH                                           ;A0209   ;BIOSSIDO DI TITANIO KRONOS 3070                                         ;KG;       24000;   2,04000;        
BF;  6300;20190829  ;401.00295;RESCHEM ITALIA SpA                                          ;A0209   ;BIOSSIDO DI TITANIO ETR 92                                              ;KG;       24075;   1,85000;        
BF;  1518;20190222  ;401.00295;RESCHEM ITALIA SpA                                          ;A0209   ;BIOSSIDO DI TITANIO 8700                                                ;KG;       24000;   2,05000;        
BF;  7753;20190506  ;401.00279;KRONOS TITAN GmbH                                           ;A0209   ;BIOSSIDO DI TITANIO KRONOS 3070                                         ;KG;       24000;   1,88000;        
BF;155275;20191206  ;401.00279;KRONOS TITAN GmbH                                           ;A0209   ;BIOSSIDO DI TITANIO 3070                                                ;KG;       24000;   1,80000;        
BF;121507;20190709  ;401.00279;KRONOS TITAN GmbH                                           ;A0209   ;BIOSSIDO DI TITANIO KRONOS 3070                                         ;KG;       23975;   1,88000;        
BF;  3065;20190418  ;401.00295;RESCHEM ITALIA SpA                                          ;A0209   ;BIOSSIDO DI TITANIO "BASE STANDA                                        ;KG;        5000;   2,02000;        
BF;  8651;20191120  ;401.00295;RESCHEM ITALIA SpA                                          ;A0209   ;BIOSSIDO DI TITANIO ETR 92                                              ;KG;       20000;   1,78000;        
BF; 25036;20191114  ;401.00178;BRENNTAG SPA                                                ;A0218   ;MAGNESIO OSSIDO MAGOX SUPER PREM                                        ;KG;         500;   1,72000;        
BF;  5361;20190807  ;401.00305;NICEM S.R.L.                                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;KG;       23975;   0,06500;        
BF;  7468;20191118  ;401.00305;NICEM S.R.L.                                                ;A0228   ;CALCIO CARBONATO BCM50                                                  ;KG;       30400;   0,06500;        
BF;   571;20190129  ;401.00305;NICEM S.R.L.                                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;KG;       16000;   0,06500;        
BF;  3327;20190521  ;401.00305;NICEM S.R.L.                                                ;A0228   ;CALCIO CARBONATO BCM50                                                  ;KG;       30400;   0,06500;        
BF;  4435;20190703  ;401.00305;NICEM S.R.L.                                                ;A0228   ;CALCIO CARBONATO BCM50                                                  ;KG;       30400;   0,06500;        
BF;  2504;20190418  ;401.00305;NICEM S.R.L.                                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;KG;       30400;   0,06500;        
BF;  1005;20190219  ;401.00305;NICEM S.R.L.                                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;KG;       30400;   0,06500;        
BF;  6424;20191002  ;401.00305;NICEM S.R.L.                                                ;A0228   ;CALCIO CARBONATO BCM50                                                  ;KG;       30400;   0,06500;        
BF;   104;20190108  ;401.00305;NICEM S.R.L.                                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;KG;       12800;   0,06500;        
BF;     6;20190108  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0229   ;SOLEX BNR CRUDO MICRONIZZATO-SAC                                        ;KG;       12960;   0,10500;        
BF;   179;20190418  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0229   ;SOLEX BNR CRUDO MICRONIZZATO-SAC                                        ;KG;       16200;   0,10500;        
BF;   539;20191216  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0229   ;SOLEX BNR CRUDO MICRONIZZATO-SAC                                        ;KG;       12960;   0,10500;        
BF;   332;20190730  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0229   ;SOLEX BNR CRUDO MICRONIZZATO-SAC                                        ;KG;       16200;   0,10500;        
BF;  2917;20190128  ;401.00068;EIGENMANN & VERONELLI                                       ;A0235   ;SIPERNAT 820 A                                                          ;KG;        1000;   1,50000;        
BF; 19203;20191018  ;401.00270;RAINOLDI S.P.A.                                             ;A0300   ;ACIDO FOSFORICO (75%)                                                   ;KG;       20220;   0,78000;        
BF; 16754;20190912  ;401.00270;RAINOLDI S.P.A.                                             ;A0300   ;ACIDO FOSFORICO (75%)                                                   ;KG;       19640;   0,78000;        
BF;  4563;20190308  ;401.00270;RAINOLDI S.P.A.                                             ;A0300   ;ACIDO FOSFORICO (75%)                                                   ;KG;       20200;   0,84000;        
BF; 20161;20191104  ;401.00270;RAINOLDI S.P.A.                                             ;A0300   ;ACIDO FOSFORICO (75%)                                                   ;KG;       19520;   0,78000;        
BF;  8405;20190508  ;401.00270;RAINOLDI S.P.A.                                             ;A0300   ;ACIDO FOSFORICO (75%)                                                   ;KG;       27520;   0,80500;        
BF; 12816;20190708  ;401.00270;RAINOLDI S.P.A.                                             ;A0300   ;ACIDO FOSFORICO (75%)                                                   ;KG;       20840;   0,78000;        
BF;  1726;20190128  ;401.00270;RAINOLDI S.P.A.                                             ;A0300   ;ACIDO FOSFORICO (75%)                                                   ;KG;       19320;   0,83000;        
BF; 22526;20191206  ;401.00270;RAINOLDI S.P.A.                                             ;A0300   ;ACIDO FOSFORICO (75%)                                                   ;KG;       26480;   0,73000;        
BF;  6330;20191002  ;401.00317;PREMIX srl UNIPERSONALE                                     ;A0302   ;BERGAZID C1299                                                          ;KG;        5350;   0,55000;        
